# Title: Global Land and Ocean Average Temperature Anomalies
# Units: Degrees Celsius
# Missing: -999
# Base Period: 1901-2000
Date,Anomaly
185001,-0.45
185002,-0.21
185003,-0.21
185004,-0.35
185005,-0.29
185006,-0.08
185007,-0.03
185008,0.01
185009,-0.09
185010,-0.34
185011,-0.19
185012,-0.04
185101,-0.17
185102,-0.06
185103,-0.24
185104,-0.34
185105,-0.27
185106,-0.14
185107,0.07
185108,0.10
185109,0.05
185110,0.13
185111,-0.08
185112,-0.06
185201,-0.02
185202,-0.23
185203,-0.40
185204,-0.32
185205,-0.10
185206,0.12
185207,0.08
185208,0.13
185209,0.07
185210,0.07
185211,0.04
185212,0.02
185301,-0.12
185302,-0.24
185303,-0.21
185304,-0.27
185305,-0.09
185306,0.01
185307,0.12
185308,0.03
185309,-0.06
185310,-0.12
185311,-0.16
185312,-0.09
185401,-0.27
185402,-0.18
185403,-0.01
185404,-0.12
185405,-0.09
185406,-0.06
185407,0.00
185408,-0.05
185409,-0.04
185410,0.06
185411,0.02
185412,0.04
185501,-0.07
185502,-0.07
185503,-0.05
185504,-0.07
185505,-0.09
185506,-0.06
185507,-0.12
185508,-0.09
185509,-0.08
185510,0.01
185511,-0.08
185512,-0.11
185601,0.19
185602,-0.02
185603,-0.12
185604,-0.20
185605,-0.21
185606,-0.02
185607,-0.14
185608,-0.26
185609,-0.22
185610,-0.40
185611,-0.21
185612,-0.11
185701,-0.14
185702,-0.34
185703,-0.17
185704,-0.28
185705,-0.34
185706,-0.18
185707,-0.16
185708,-0.16
185709,-0.18
185710,-0.20
185711,-0.15
185712,0.03
185801,-0.12
185802,-0.22
185803,-0.10
185804,-0.17
185805,-0.37
185806,-0.17
185807,-0.14
185808,-0.14
185809,-0.21
185810,-0.13
185811,-0.15
185812,-0.20
185901,-0.14
185902,-0.05
185903,0.00
185904,-0.03
185905,0.04
185906,-0.03
185907,-0.13
185908,-0.01
185909,-0.14
185910,-0.13
185911,-0.06
185912,0.14
186001,-0.12
186002,-0.18
186003,-0.20
186004,-0.20
186005,-0.26
186006,-0.14
186007,-0.21
186008,-0.16
186009,-0.24
186010,-0.27
186011,-0.27
186012,-0.45
186101,-0.61
186102,-0.51
186103,-0.27
186104,-0.31
186105,-0.38
186106,-0.24
186107,-0.15
186108,-0.13
186109,-0.13
186110,-0.27
186111,-0.09
186112,-0.23
186201,-0.43
186202,-0.47
186203,-0.36
186204,-0.41
186205,-0.40
186206,-0.21
186207,-0.27
186208,-0.28
186209,-0.27
186210,-0.35
186211,-0.21
186212,-0.45
186301,-0.12
186302,-0.25
186303,-0.13
186304,-0.15
186305,-0.23
186306,-0.18
186307,-0.23
186308,-0.20
186309,-0.30
186310,-0.27
186311,-0.18
186312,-0.19
186401,-0.33
186402,-0.25
186403,-0.20
186404,-0.20
186405,-0.10
186406,-0.03
186407,-0.09
186408,-0.21
186409,-0.26
186410,-0.28
186411,-0.16
186412,-0.27
186501,0.15
186502,-0.22
186503,-0.22
186504,-0.26
186505,-0.23
186506,-0.04
186507,0.01
186508,0.03
186509,-0.01
186510,-0.06
186511,-0.06
186512,-0.05
186601,0.02
186602,0.02
186603,-0.14
186604,-0.18
186605,-0.17
186606,-0.12
186607,0.00
186608,-0.18
186609,-0.13
186610,-0.18
186611,-0.13
186612,0.00
186701,-0.17
186702,-0.31
186703,-0.26
186704,-0.41
186705,-0.36
186706,-0.14
186707,-0.18
186708,-0.04
186709,-0.02
186710,-0.11
186711,-0.08
186712,-0.20
186801,-0.38
186802,-0.25
186803,-0.09
186804,-0.21
186805,-0.12
186806,-0.03
186807,-0.08
186808,-0.02
186809,-0.09
186810,-0.06
186811,-0.29
186812,-0.06
186901,0.03
186902,0.11
186903,-0.05
186904,-0.18
186905,-0.05
186906,-0.05
186907,-0.09
186908,-0.16
186909,-0.16
186910,-0.20
186911,0.04
186912,-0.06
187001,-0.16
187002,-0.29
187003,-0.14
187004,-0.21
187005,-0.14
187006,-0.05
187007,-0.03
187008,-0.02
187009,-0.12
187010,-0.28
187011,-0.25
187012,-0.35
187101,-0.36
187102,-0.33
187103,-0.03
187104,-0.01
187105,-0.13
187106,0.00
187107,-0.02
187108,-0.09
187109,-0.22
187110,-0.28
187111,-0.30
187112,-0.20
187201,-0.28
187202,-0.28
187203,-0.17
187204,-0.31
187205,-0.19
187206,-0.12
187207,-0.11
187208,-0.02
187209,-0.12
187210,-0.22
187211,-0.28
187212,-0.31
187301,-0.21
187302,-0.22
187303,-0.40
187304,-0.43
187305,-0.25
187306,-0.10
187307,-0.08
187308,-0.05
187309,-0.11
187310,-0.13
187311,-0.22
187312,-0.21
187401,-0.21
187402,-0.21
187403,-0.38
187404,-0.30
187405,-0.35
187406,-0.17
187407,-0.24
187408,-0.21
187409,-0.14
187410,-0.18
187411,-0.30
187412,-0.09
187501,-0.13
187502,-0.22
187503,-0.21
187504,-0.19
187505,-0.21
187506,-0.10
187507,-0.10
187508,-0.16
187509,-0.22
187510,-0.22
187511,-0.42
187512,-0.46
187601,-0.23
187602,-0.41
187603,-0.19
187604,-0.30
187605,-0.49
187606,-0.12
187607,-0.17
187608,-0.18
187609,-0.19
187610,-0.11
187611,-0.29
187612,-0.25
187701,-0.10
187702,-0.07
187703,0.10
187704,-0.03
187705,0.02
187706,0.10
187707,0.29
187708,0.15
187709,0.18
187710,0.26
187711,0.33
187712,0.15
187801,0.14
187802,0.21
187803,0.42
187804,0.15
187805,0.05
187806,0.24
187807,0.22
187808,0.09
187809,0.10
187810,-0.06
187811,-0.09
187812,-0.02
187901,-0.05
187902,-0.14
187903,-0.04
187904,-0.15
187905,-0.10
187906,-0.07
187907,-0.01
187908,-0.16
187909,-0.17
187910,-0.20
187911,-0.28
187912,-0.32
188001,-0.31
188002,-0.39
188003,-0.15
188004,-0.10
188005,-0.12
188006,-0.12
188007,-0.20
188008,-0.04
188009,-0.14
188010,-0.24
188011,-0.20
188012,-0.12
188101,-0.11
188102,-0.13
188103,-0.05
188104,0.03
188105,0.07
188106,-0.15
188107,0.00
188108,-0.08
188109,-0.19
188110,-0.27
188111,-0.27
188112,0.00
188201,0.10
188202,-0.09
188203,-0.06
188204,-0.20
188205,-0.10
188206,-0.23
188207,-0.21
188208,-0.11
188209,-0.16
188210,-0.30
188211,-0.26
188212,-0.27
188301,-0.18
188302,-0.33
188303,-0.10
188304,-0.20
188305,-0.15
188306,0.05
188307,-0.08
188308,-0.24
188309,-0.27
188310,-0.27
188311,-0.26
188312,-0.23
188401,-0.21
188402,-0.14
188403,-0.41
188404,-0.39
188405,-0.31
188406,-0.26
188407,-0.33
188408,-0.30
188409,-0.34
188410,-0.38
188411,-0.38
188412,-0.09
188501,-0.40
188502,-0.28
188503,-0.36
188504,-0.42
188505,-0.28
188506,-0.36
188507,-0.26
188508,-0.19
188509,-0.28
188510,-0.25
188511,-0.27
188512,-0.06
188601,-0.30
188602,-0.36
188603,-0.45
188604,-0.25
188605,-0.25
188606,-0.27
188607,-0.18
188608,-0.22
188609,-0.26
188610,-0.31
188611,-0.31
188612,-0.20
188701,-0.63
188702,-0.45
188703,-0.35
188704,-0.33
188705,-0.33
188706,-0.25
188707,-0.26
188708,-0.26
188709,-0.18
188710,-0.38
188711,-0.27
188712,-0.35
188801,-0.14
188802,-0.28
188803,-0.29
188804,-0.26
188805,-0.16
188806,-0.08
188807,-0.01
188808,-0.08
188809,-0.15
188810,0.11
188811,0.07
188812,0.04
188901,0.07
188902,0.23
188903,0.09
188904,0.07
188905,0.09
188906,-0.02
188907,-0.07
188908,-0.09
188909,-0.13
188910,-0.19
188911,-0.31
188912,-0.25
189001,-0.33
189002,-0.36
189003,-0.36
189004,-0.39
189005,-0.30
189006,-0.26
189007,-0.26
189008,-0.32
189009,-0.40
189010,-0.26
189011,-0.44
189012,-0.33
189101,-0.28
189102,-0.52
189103,-0.21
189104,-0.22
189105,-0.13
189106,-0.10
189107,-0.12
189108,-0.17
189109,-0.19
189110,-0.20
189111,-0.37
189112,-0.14
189201,-0.19
189202,-0.10
189203,-0.24
189204,-0.26
189205,-0.31
189206,-0.21
189207,-0.32
189208,-0.27
189209,-0.20
189210,-0.29
189211,-0.39
189212,-0.31
189301,-0.54
189302,-0.47
189303,-0.38
189304,-0.33
189305,-0.32
189306,-0.17
189307,-0.21
189308,-0.24
189309,-0.29
189310,-0.28
189311,-0.33
189312,-0.40
189401,-0.53
189402,-0.45
189403,-0.33
189404,-0.42
189405,-0.25
189406,-0.42
189407,-0.21
189408,-0.17
189409,-0.31
189410,-0.32
189411,-0.28
189412,-0.23
189501,-0.33
189502,-0.35
189503,-0.26
189504,-0.21
189505,-0.29
189506,-0.18
189507,-0.10
189508,-0.11
189509,-0.19
189510,-0.19
189511,-0.17
189512,-0.20
189601,-0.17
189602,-0.16
189603,-0.17
189604,-0.29
189605,-0.22
189606,-0.06
189607,-0.06
189608,-0.02
189609,-0.09
189610,0.06
189611,-0.07
189612,-0.04
189701,-0.09
189702,-0.20
189703,-0.14
189704,0.05
189705,-0.06
189706,-0.09
189707,-0.02
189708,-0.03
189709,-0.11
189710,-0.19
189711,-0.15
189712,-0.07
189801,-0.22
189802,-0.30
189803,-0.46
189804,-0.32
189805,-0.22
189806,-0.14
189807,-0.12
189808,-0.15
189809,-0.16
189810,-0.32
189811,-0.41
189812,-0.26
189901,-0.30
189902,-0.34
189903,-0.24
189904,-0.22
189905,-0.24
189906,-0.23
189907,-0.11
189908,-0.03
189909,0.03
189910,-0.16
189911,-0.02
189912,-0.02
190001,-0.27
190002,0.03
190003,0.03
190004,-0.13
190005,-0.07
190006,-0.02
190007,-0.09
190008,-0.08
190009,-0.11
190010,0.05
190011,-0.03
190012,-0.01
190101,-0.20
190102,-0.11
190103,0.11
190104,0.05
190105,-0.13
190106,-0.09
190107,-0.12
190108,-0.11
190109,-0.17
190110,-0.27
190111,-0.18
190112,-0.10
190201,-0.17
190202,-0.06
190203,-0.27
190204,-0.27
190205,-0.23
190206,-0.17
190207,-0.17
190208,-0.21
190209,-0.24
190210,-0.25
190211,-0.28
190212,-0.34
190301,-0.21
190302,-0.21
190303,-0.21
190304,-0.41
190305,-0.32
190306,-0.29
190307,-0.37
190308,-0.41
190309,-0.46
190310,-0.50
190311,-0.38
190312,-0.54
190401,-0.60
190402,-0.52
190403,-0.39
190404,-0.52
190405,-0.49
190406,-0.42
190407,-0.44
190408,-0.44
190409,-0.47
190410,-0.37
190411,-0.21
190412,-0.27
190501,-0.30
190502,-0.49
190503,-0.20
190504,-0.30
190505,-0.21
190506,-0.15
190507,-0.16
190508,-0.25
190509,-0.28
190510,-0.31
190511,-0.17
190512,-0.21
190601,-0.31
190602,-0.21
190603,-0.18
190604,-0.01
190605,-0.17
190606,-0.10
190607,-0.13
190608,-0.20
190609,-0.23
190610,-0.13
190611,-0.24
190612,-0.07
190701,-0.30
190702,-0.48
190703,-0.25
190704,-0.39
190705,-0.45
190706,-0.35
190707,-0.30
190708,-0.27
190709,-0.33
190710,-0.22
190711,-0.39
190712,-0.41
190801,-0.48
190802,-0.26
190803,-0.48
190804,-0.49
190805,-0.43
190806,-0.34
190807,-0.34
190808,-0.43
190809,-0.43
190810,-0.47
190811,-0.44
190812,-0.43
190901,-0.67
190902,-0.42
190903,-0.46
190904,-0.53
190905,-0.44
190906,-0.46
190907,-0.42
190908,-0.33
190909,-0.34
190910,-0.31
190911,-0.29
190912,-0.42
191001,-0.35
191002,-0.40
191003,-0.46
191004,-0.37
191005,-0.30
191006,-0.32
191007,-0.29
191008,-0.31
191009,-0.33
191010,-0.41
191011,-0.35
191012,-0.55
191101,-0.56
191102,-0.58
191103,-0.61
191104,-0.38
191105,-0.49
191106,-0.45
191107,-0.41
191108,-0.39
191109,-0.36
191110,-0.24
191111,-0.17
191112,-0.17
191201,-0.29
191202,-0.19
191203,-0.37
191204,-0.22
191205,-0.19
191206,-0.19
191207,-0.36
191208,-0.45
191209,-0.49
191210,-0.57
191211,-0.29
191212,-0.35
191301,-0.37
191302,-0.37
191303,-0.45
191304,-0.39
191305,-0.42
191306,-0.36
191307,-0.34
191308,-0.24
191309,-0.29
191310,-0.32
191311,-0.24
191312,-0.03
191401,-0.06
191402,-0.12
191403,-0.24
191404,-0.23
191405,-0.18
191406,-0.18
191407,-0.21
191408,-0.21
191409,-0.18
191410,-0.06
191411,0.00
191412,-0.01
191501,-0.15
191502,-0.03
191503,-0.01
191504,0.10
191505,0.00
191506,-0.12
191507,-0.05
191508,-0.11
191509,-0.14
191510,-0.19
191511,-0.10
191512,-0.24
191601,-0.13
191602,-0.15
191603,-0.20
191604,-0.20
191605,-0.22
191606,-0.29
191607,-0.31
191608,-0.21
191609,-0.29
191610,-0.31
191611,-0.54
191612,-0.74
191701,-0.52
191702,-0.63
191703,-0.66
191704,-0.52
191705,-0.51
191706,-0.37
191707,-0.18
191708,-0.20
191709,-0.21
191710,-0.44
191711,-0.36
191712,-0.55
191801,-0.50
191802,-0.43
191803,-0.34
191804,-0.44
191805,-0.41
191806,-0.36
191807,-0.28
191808,-0.27
191809,-0.16
191810,-0.11
191811,-0.14
191812,-0.22
191901,-0.06
191902,-0.24
191903,-0.24
191904,-0.03
191905,-0.17
191906,-0.32
191907,-0.26
191908,-0.36
191909,-0.23
191910,-0.25
191911,-0.28
191912,-0.33
192001,-0.17
192002,-0.20
192003,-0.14
192004,-0.27
192005,-0.19
192006,-0.27
192007,-0.29
192008,-0.23
192009,-0.19
192010,-0.20
192011,-0.22
192012,-0.36
192101,-0.11
192102,-0.26
192103,-0.27
192104,-0.29
192105,-0.19
192106,-0.21
192107,-0.12
192108,-0.15
192109,-0.15
192110,-0.02
192111,-0.08
192112,-0.14
192201,-0.19
192202,-0.41
192203,-0.14
192204,-0.15
192205,-0.30
192206,-0.29
192207,-0.30
192208,-0.32
192209,-0.29
192210,-0.29
192211,-0.04
192212,-0.12
192301,-0.29
192302,-0.32
192303,-0.38
192304,-0.32
192305,-0.23
192306,-0.19
192307,-0.31
192308,-0.36
192309,-0.32
192310,-0.17
192311,-0.02
192312,-0.03
192401,-0.16
192402,-0.17
192403,-0.05
192404,-0.19
192405,-0.14
192406,-0.18
192407,-0.30
192408,-0.35
192409,-0.29
192410,-0.31
192411,-0.22
192412,-0.33
192501,-0.42
192502,-0.36
192503,-0.24
192504,-0.17
192505,-0.21
192506,-0.26
192507,-0.22
192508,-0.22
192509,-0.23
192510,-0.11
192511,-0.04
192512,0.04
192601,0.17
192602,0.05
192603,0.10
192604,0.02
192605,-0.19
192606,-0.15
192607,-0.22
192608,-0.17
192609,-0.13
192610,0.01
192611,-0.07
192612,-0.24
192701,-0.26
192702,-0.15
192703,-0.34
192704,-0.29
192705,-0.22
192706,-0.16
192707,-0.17
192708,-0.06
192709,-0.07
192710,0.00
192711,-0.02
192712,-0.27
192801,-0.08
192802,-0.11
192803,-0.22
192804,-0.21
192805,-0.18
192806,-0.19
192807,-0.20
192808,-0.21
192809,-0.09
192810,-0.18
192811,-0.10
192812,-0.11
192901,-0.35
192902,-0.44
192903,-0.30
192904,-0.39
192905,-0.34
192906,-0.39
192907,-0.37
192908,-0.23
192909,-0.21
192910,-0.15
192911,-0.17
192912,-0.45
193001,-0.31
193002,-0.23
193003,-0.16
193004,-0.13
193005,-0.17
193006,-0.13
193007,-0.08
193008,-0.13
193009,-0.14
193010,-0.07
193011,0.19
193012,0.02
193101,-0.01
193102,-0.17
193103,-0.06
193104,-0.14
193105,-0.13
193106,-0.03
193107,-0.01
193108,0.01
193109,0.02
193110,0.03
193111,-0.04
193112,-0.03
193201,0.13
193202,-0.19
193203,-0.11
193204,-0.02
193205,-0.12
193206,-0.12
193207,-0.21
193208,-0.26
193209,-0.06
193210,-0.06
193211,-0.25
193212,-0.19
193301,-0.15
193302,-0.28
193303,-0.21
193304,-0.19
193305,-0.22
193306,-0.25
193307,-0.24
193308,-0.24
193309,-0.31
193310,-0.18
193311,-0.27
193312,-0.33
193401,-0.26
193402,-0.08
193403,-0.26
193404,-0.26
193405,-0.05
193406,-0.11
193407,-0.09
193408,-0.08
193409,-0.05
193410,-0.02
193411,0.06
193412,-0.02
193501,-0.28
193502,0.13
193503,-0.16
193504,-0.35
193505,-0.24
193506,-0.27
193507,-0.11
193508,-0.11
193509,-0.10
193510,-0.06
193511,-0.16
193512,-0.08
193601,-0.29
193602,-0.27
193603,-0.19
193604,-0.14
193605,-0.14
193606,-0.15
193607,-0.04
193608,-0.02
193609,-0.07
193610,0.01
193611,-0.02
193612,0.01
193701,-0.06
193702,0.01
193703,-0.19
193704,-0.16
193705,-0.04
193706,-0.03
193707,-0.02
193708,0.08
193709,0.14
193710,0.11
193711,0.12
193712,-0.04
193801,0.03
193802,0.05
193803,0.08
193804,0.07
193805,-0.06
193806,-0.18
193807,-0.02
193808,-0.02
193809,0.05
193810,0.10
193811,0.07
193812,-0.09
193901,-0.05
193902,-0.05
193903,-0.21
193904,-0.11
193905,0.00
193906,0.00
193907,0.04
193908,0.08
193909,-0.02
193910,-0.02
193911,0.10
193912,0.47
194001,0.12
194002,0.12
194003,0.13
194004,0.23
194005,0.16
194006,0.07
194007,0.10
194008,0.05
194009,0.12
194010,0.17
194011,0.19
194012,0.36
194101,0.19
194102,0.32
194103,0.14
194104,0.25
194105,0.21
194106,0.17
194107,0.21
194108,0.23
194109,0.11
194110,0.32
194111,0.27
194112,0.29
194201,0.31
194202,0.02
194203,0.08
194204,0.14
194205,0.11
194206,0.13
194207,0.02
194208,0.05
194209,0.06
194210,0.03
194211,0.11
194212,0.07
194301,-0.01
194302,0.08
194303,-0.04
194304,0.12
194305,0.02
194306,-0.10
194307,0.09
194308,0.03
194309,0.05
194310,0.24
194311,0.21
194312,0.22
194401,0.32
194402,0.29
194403,0.31
194404,0.20
194405,0.24
194406,0.21
194407,0.16
194408,0.17
194409,0.33
194410,0.27
194411,0.21
194412,0.19
194501,0.20
194502,0.08
194503,0.08
194504,0.29
194505,0.15
194506,0.12
194507,0.11
194508,0.35
194509,0.22
194510,0.13
194511,0.12
194512,0.00
194601,0.20
194602,0.03
194603,-0.04
194604,0.02
194605,0.00
194606,-0.13
194607,-0.10
194608,-0.14
194609,-0.04
194610,-0.06
194611,0.01
194612,-0.18
194701,0.01
194702,0.01
194703,0.05
194704,0.09
194705,0.00
194706,0.08
194707,0.00
194708,-0.08
194709,-0.11
194710,0.03
194711,-0.01
194712,-0.11
194801,0.01
194802,-0.09
194803,-0.21
194804,-0.05
194805,0.11
194806,-0.06
194807,-0.03
194808,-0.04
194809,-0.11
194810,-0.03
194811,-0.07
194812,-0.21
194901,0.08
194902,-0.10
194903,0.03
194904,-0.05
194905,0.00
194906,-0.15
194907,-0.07
194908,-0.08
194909,-0.14
